,x,y,z
P1,0.00E+00,0.00E+00,0.00E+00
P2,-7.50E-01,0.00E+00,-1.34E-02
P3,-5.30E-01,5.30E-01,-1.34E-02
P4,-4.59E-17,7.50E-01,-1.34E-02
P5,5.30E-01,5.30E-01,-1.34E-02
P6,7.50E-01,9.18E-17,-1.34E-02
P7,5.30E-01,-5.30E-01,-1.34E-02
P8,1.38E-16,-7.50E-01,-1.34E-02
P9,-5.30E-01,-5.30E-01,-1.34E-02
P10,-1.50E+00,0.00E+00,-5.36E-02
P11,-1.39E+00,5.74E-01,-5.36E-02
P12,-1.06E+00,1.06E+00,-5.36E-02
P13,-5.74E-01,1.39E+00,-5.36E-02
P14,-9.18E-17,1.50E+00,-5.36E-02
P15,5.74E-01,1.39E+00,-5.36E-02
P16,1.06E+00,1.06E+00,-5.36E-02
P17,1.39E+00,5.74E-01,-5.36E-02
P18,1.50E+00,1.84E-16,-5.36E-02
P19,1.39E+00,-5.74E-01,-5.36E-02
P20,1.06E+00,-1.06E+00,-5.36E-02
P21,5.74E-01,-1.39E+00,-5.36E-02
P22,2.76E-16,-1.50E+00,-5.36E-02
P23,-5.74E-01,-1.39E+00,-5.36E-02
P24,-1.06E+00,-1.06E+00,-5.36E-02
P25,-1.39E+00,-5.74E-01,-5.36E-02
P26,-2.25E+00,0.00E+00,-1.21E-01
P27,-2.17E+00,5.82E-01,-1.21E-01
P28,-1.95E+00,1.13E+00,-1.21E-01
P29,-1.59E+00,1.59E+00,-1.21E-01
P30,-1.13E+00,1.95E+00,-1.21E-01
P31,-5.82E-01,2.17E+00,-1.21E-01
P32,-1.38E-16,2.25E+00,-1.21E-01
P33,5.82E-01,2.17E+00,-1.21E-01
P34,1.13E+00,1.95E+00,-1.21E-01
P35,1.59E+00,1.59E+00,-1.21E-01
P36,1.95E+00,1.13E+00,-1.21E-01
P37,2.17E+00,5.82E-01,-1.21E-01
P38,2.25E+00,2.76E-16,-1.21E-01
P39,2.17E+00,-5.82E-01,-1.21E-01
P40,1.95E+00,-1.13E+00,-1.21E-01
P41,1.59E+00,-1.59E+00,-1.21E-01
P42,1.13E+00,-1.95E+00,-1.21E-01
P43,5.82E-01,-2.17E+00,-1.21E-01
P44,4.13E-16,-2.25E+00,-1.21E-01
P45,-5.82E-01,-2.17E+00,-1.21E-01
P46,-1.13E+00,-1.95E+00,-1.21E-01
P47,-1.59E+00,-1.59E+00,-1.21E-01
P48,-1.95E+00,-1.13E+00,-1.21E-01
P49,-2.17E+00,-5.82E-01,-1.21E-01
P50,-3.00E+00,0.00E+00,-2.15E-01
P51,-2.94E+00,5.85E-01,-2.15E-01
P52,-2.77E+00,1.15E+00,-2.15E-01
P53,-2.49E+00,1.67E+00,-2.15E-01
P54,-2.12E+00,2.12E+00,-2.15E-01
P55,-1.67E+00,2.49E+00,-2.15E-01
P56,-1.15E+00,2.77E+00,-2.15E-01
P57,-5.85E-01,2.94E+00,-2.15E-01
P58,-1.84E-16,3.00E+00,-2.15E-01
P59,5.85E-01,2.94E+00,-2.15E-01
P60,1.15E+00,2.77E+00,-2.15E-01
P61,1.67E+00,2.49E+00,-2.15E-01
P62,2.12E+00,2.12E+00,-2.15E-01
P63,2.49E+00,1.67E+00,-2.15E-01
P64,2.77E+00,1.15E+00,-2.15E-01
