normal_miller_index,x_coordinate(mm),y_coordinate(mm),molecule,h,k,l,surface_chirality,halftime(s),stereographic_projection_x,stereographic_projection_y
100,0.0,0.0,L-TA,0.999764303,-0.0139967,0.016596087,S,1551.7,-0.01399752481795336,0.016597064998421993
100,-0.75,0.0,L-TA,0.998391009,-0.044466579,0.035186878,R,1527.2,-0.04448447638084897,0.035201040388261357
100,-0.53033,0.53033,L-TA,0.998432854,-0.022380847,0.05129263,S,1531.1,-0.022389620670158265,0.05131273757757157
100,-4.59e-17,0.75,L-TA,0.998881024,0.004621431,0.047067418,R,1547.9,0.004622724360333664,0.04708059035536984
100,0.53033,0.53033,L-TA,0.999472988,0.02072269,0.024986306,R,1539.2,0.020725420816277276,0.024989598671517736
100,0.75,9.18e-17,L-TA,0.999861981,0.016491037,-0.002015882,R,1579.7,0.016491606048561414,-0.002015951561104743
100,0.53033,-0.53033,L-TA,0.999820137,-0.005594694,-0.018121631,R,1585.9,-0.005594945586581027,-0.018122445907693956
100,1.38e-16,-0.75,L-TA,0.999371966,-0.032596976,-0.013896419,S,1526.1,-0.0326020952079766,-0.013898601369891949
100,-0.53033,-0.53033,L-TA,0.998780002,-0.04869823,0.00818469,R,1529.1,-0.04871308973446394,0.00818718746900595
100,-1.5,0.0,L-TA,0.99573965,-0.074918567,0.053756462,R,1461.0,-0.0749984895386654,0.053813808971315
100,-1.38582,0.57403,L-TA,0.995663735,-0.056035483,0.074254636,S,1438.9,-0.05609632813405291,0.07433526407777476
100,-1.06066,1.06066,L-TA,0.995823341,-0.030747101,0.085967957,S,1466.2,-0.030779256411122877,0.086057862549168
100,-0.57403,1.38582,L-TA,0.996194121,-0.002903272,0.087113971,S,1537.9,-0.0029060383242214263,0.08719697579183552
100,-9.18e-17,1.5,L-TA,0.996719681,0.023257461,0.077517535,R,1569.1,0.02327655746695466,0.07758118386715425
100,0.57403,1.38582,L-TA,0.997319964,0.043752063,0.058639965,R,1494.3,0.04378140677015912,0.058679293834736294
100,1.06066,1.06066,L-TA,0.99790361,0.055459975,0.033355309,S,1500.4,0.055489064304693955,0.033372804189037895
100,1.38582,0.57403,L-TA,0.99838174,0.056599564,0.005512853,S,1542.1,0.05662247610770284,0.005515084661743647
100,1.5,1.84e-16,L-TA,0.998681595,0.046996669,-0.020649069,R,1546.3,0.04701216682342225,-0.02065587832568212
100,1.38582,-0.57403,L-TA,0.998757493,0.028113586,-0.041147244,S,1523.5,0.02812232290293449,-0.041160031393143295
100,1.06066,-1.06066,L-TA,0.998597907,0.002825202,-0.052860565,S,1513.2,0.0028261928199755488,-0.05287910360492835
100,0.57403,-1.38582,L-TA,0.998227107,-0.025018624,-0.054006578,R,1536.0,-0.02502972021353474,-0.054030530896920656
100,2.76e-16,-1.5,L-TA,0.997701565,-0.051179358,-0.044410143,S,1518.4,-0.05120879147845853,-0.04443568347253447
100,-0.57403,-1.38582,L-TA,0.997101264,-0.071673958,-0.025532572,S,1473.0,-0.07172595550004555,-0.02555109518402359
100,-1.06066,-1.06066,L-TA,0.996517638,-0.083381871,-0.000247917,S,1568.2,-0.08345455739868185,-0.00024813311644936593
100,-1.38582,-0.57403,L-TA,0.996039489,-0.084521462,0.027594538,R,1484.7,-0.08460527354175826,0.02762190076348233
100,-2.25,0.0,L-TA,0.991802838,-0.105352556,0.072304703,R,1425.9,-0.10556911992358554,0.07245333337756167
100,-2.17333,0.58234,L-TA,0.991687446,-0.087787631,0.094070934,S,1419.4,-0.08797063652002654,0.09426703793856113
100,-1.94856,1.125,L-TA,0.991730225,-0.065188707,0.110551315,S,1372.5,-0.06532390038670582,0.11078058487460624
100,-1.59099,1.59099,L-TA,0.991928374,-0.039095359,0.120621946,S,1356.0,-0.03917448937631363,0.12086608904466835
100,-1.125,1.94856,L-TA,0.992268301,-0.01128614,0.123597094,S,1559.6,-0.01130801871467701,0.1238366927959155
100,-0.58234,2.17333,L-TA,0.992726925,0.016343754,0.119273355,R,1681.2,0.01637355263471955,0.11949081930700196
100,-1.38e-16,2.25,L-TA,0.993272883,0.041911481,0.107946314,R,1566.8,0.04198214517143895,0.10812831512849028
100,0.58234,2.17333,L-TA,0.993869067,0.0636745,0.090387142,R,1441.7,0.06377232098107272,0.09052600070963729
100,1.125,1.94856,L-TA,0.99447476,0.080150287,0.067792945,S,1424.3,0.08026122931452187,0.06788678254579136
100,1.59099,1.59099,L-TA,0.995048778,0.090215255,0.041702973,S,1417.4,0.09032713170412889,0.041754689211095514
100,1.94856,1.125,L-TA,0.99555193,0.093184059,0.013895552,S,1500.1,0.09328785447002132,0.013911029919362213
100,2.17333,0.58234,L-TA,0.995949991,0.088853729,-0.013734246,R,1551.4,0.08894383046555385,-0.013748173110395974
100,2.25,2.76e-16,L-TA,0.996215755,0.077520297,-0.039303593,R,1535.3,0.07759374018816084,-0.039340829456615954
100,2.17333,-0.58234,L-TA,0.996331185,0.059955371,-0.061069825,S,1476.9,0.06001043806428274,-0.06112591565414691
100,1.94856,-1.125,L-TA,0.996288343,0.037356445,-0.077550204,S,1497.2,0.0373911568996232,-0.07762226425351197
100,1.59099,-1.59099,L-TA,0.996090223,0.011263099,-0.087620837,S,1507.0,0.01127412421879575,-0.08770660725727926
100,1.125,-1.94856,L-TA,0.995750266,-0.016546118,-0.090595987,R,1507.2,-0.016563725214774266,-0.09069239287603666
100,0.58234,-2.17333,L-TA,0.995291706,-0.044176015,-0.086272246,R,1384.0,-0.044228105406010985,-0.08637397442257545
100,4.13e-16,-2.25,L-TA,0.994745709,-0.069743745,-0.074945205,R,1435.2,-0.06983553939047914,-0.07504384537860757
100,-0.58234,-2.17333,L-TA,0.994149564,-0.091506761,-0.057386034,S,1447.9,-0.09164089396015178,-0.05747015192230074
100,-1.125,-1.94856,L-TA,0.993543808,-0.107982546,-0.034791837,S,1418.2,-0.1081572581169926,-0.034848129018678016
100,-1.59099,-1.59099,L-TA,0.992969819,-0.118047516,-0.008701865,S,1588.3,-0.1182555384251845,-0.008717199359605908
100,-1.94856,-1.125,L-TA,0.992466638,-0.121016322,0.019105555,R,1618.6,-0.12124488283024339,0.019141639235918696
100,-2.17333,-0.58234,L-TA,0.99206864,-0.11668599,0.046735357,R,1507.8,-0.11691805008398543,0.046828302270212036
100,-3.0,0.0,L-TA,0.986568095,-0.135768378,0.090831396,R,1442.8,-0.1362265943040929,0.09113795064242725
100,-2.94236,0.58527,L-TA,0.986433037,-0.1189041,0.11318869,R,1351.6,-0.11930945534141993,0.11357456096727384
100,-2.77164,1.14805,L-TA,0.986416277,-0.098002458,0.13182734,S,1261.2,-0.09833697251059038,0.13227730991935172
100,-2.49441,1.66671,L-TA,0.986518391,-0.073867138,0.146031194,S,1199.6,-0.07411736573331701,0.1465258802117251
100,-2.12132,2.12132,L-TA,0.986735477,-0.047425445,0.155254389,S,1246.6,-0.047583500612080463,0.15577180802435653
100,-1.66671,2.49441,L-TA,0.987059172,-0.019693604,0.159142555,S,1510.5,-0.019757627748707363,0.15965992617035396
